Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,Total_Test_Results,People_Hospitalized,Case_Fatality_Ratio,UID,ISO3,Testing_Rate,Hospitalization_Rate
Alabama,US,2021-05-02 04:30:59,32.3182,-86.9023,528309,10913,,,1.0,10774.812698276732,4478810.0,,2.065647187536082,84000001.0,USA,91344.91152179654,
Alaska,US,2021-05-02 04:30:59,61.3707,-152.4044,68148,347,,,2.0,9315.62651648224,2100065.0,,0.5091858895345425,84000002.0,USA,287072.56559746835,
American Samoa,US,2021-05-02 04:30:59,-14.271,-170.132,0,0,,,60.0,0.0,2140.0,,,16.0,ASM,3846.084721698028,
Arizona,US,2021-05-02 04:30:59,33.7298,-111.4312,863571,17338,,,4.0,11864.329936168697,9168191.0,,2.007709846671553,84000004.0,USA,125958.8880842599,
Arkansas,US,2021-05-02 04:30:59,34.9697,-92.3731,335968,5741,,,5.0,11132.863499418783,2972450.0,,1.7087936946375846,84000005.0,USA,98497.11909719784,
California,US,2021-05-02 07:30:45,36.1162,-119.6816,3808299,60802,,,6.0,9646.101157102705,60015928.0,,1.5952714351644506,84000006.0,USA,151892.05628850596,
Colorado,US,2021-05-02 04:30:59,39.0598,-105.3111,512804,6302,,,8.0,8904.80133140328,7811831.0,,1.2289295715322033,84000008.0,USA,135651.8340135752,
Connecticut,US,2021-05-02 04:30:59,41.5978,-72.7554,339233,8097,,,9.0,9514.88617886863,8056813.0,,2.386855052427093,84000009.0,USA,225979.3671589412,
Delaware,US,2021-05-02 04:30:59,39.3185,-75.5071,104621,1626,,,10.0,10743.9790339343,1714523.0,,1.5541812829164317,84000010.0,USA,176071.71758249428,
Diamond Princess,US,2021-05-02 04:30:59,,,49,0,,,88888.0,,,,0.0,84088888.0,USA,,
District of Columbia,US,2021-05-02 04:30:59,38.8974,-77.0268,47697,1105,,,11.0,6758.351765287659,1524716.0,,2.316707549741074,84000011.0,USA,216042.2473145552,
Florida,US,2021-05-02 04:30:59,27.7663,-81.6868,2238937,35239,,,12.0,10424.45486691638,28024936.0,,1.5739165505773498,84000012.0,USA,130483.65384118448,
Georgia,US,2021-05-02 04:30:59,33.0406,-83.6431,1101487,20212,,,13.0,10374.334713800135,8320685.0,,1.83497399424596,84000013.0,USA,78368.21609160716,
Grand Princess,US,2021-05-02 04:30:59,,,103,3,,,99999.0,,,,2.912621359223301,84099999.0,USA,,
Guam,US,2021-05-02 04:30:59,13.4443,144.7937,7975,136,,,66.0,4856.024210096877,143409.0,,1.7053291536050157,316.0,GUM,87322.58005589756,
Hawaii,US,2021-05-02 04:30:59,21.0943,-157.4983,33970,483,,,15.0,2399.228178818424,1439279.0,,1.42184280247277,84000015.0,USA,101653.186163721,
Idaho,US,2021-05-02 04:30:59,44.2405,-114.4788,187656,2046,,,16.0,10500.7932000235,708069.0,,1.090292876326896,84000016.0,USA,39621.89399937887,
Illinois,US,2021-05-02 04:30:59,40.3495,-88.9861,1337868,24330,,,17.0,10557.81959041246,22666333.0,,1.8185650602301573,84000017.0,USA,178871.94744938394,
Indiana,US,2021-05-02 04:30:59,39.8494,-86.2583,721577,13338,,,18.0,10718.26391862772,9787443.0,,1.8484513780234129,84000018.0,USA,145382.12437830676,
Iowa,US,2021-05-02 04:30:59,42.0115,-93.2105,365229,5952,,,19.0,11575.939678042008,1427966.0,,1.629662485728132,84000019.0,USA,45259.40787367634,
Kansas,US,2021-05-02 04:30:59,38.5266,-96.7265,310600,4983,,,20.0,10661.39798181727,1374998.0,,1.6043142305215712,84000020.0,USA,47197.04089569473,
Kentucky,US,2021-05-02 04:30:59,37.6681,-84.6701,444771,6513,,,21.0,9955.3167834799,4637849.0,,1.4643490695211694,84000021.0,USA,103809.05227396902,
Louisiana,US,2021-05-02 04:30:59,31.1695,-91.8678,458581,10382,,,22.0,9864.51539904758,6491232.0,,2.26394028535853,84000022.0,USA,139632.60148761162,
