FIPS,Confirmed
01001,3619
01003,17138
01005,1397
01007,1749
01009,4113
01011,295
01013,1285
01015,8151
01017,2241
01019,1346
01021,2807
01023,332
01025,1346
01027,979
01029,1063
01031,3942
01033,3062
01035,831
01037,787
01039,2838
01041,1093
01043,6457
01045,4217
01047,1761
01049,4179
01051,5899
01053,3031
01055,6241
01057,1181
01059,2104
01061,2174
01063,380
01065,967
01067,1323
01069,7240
01071,3380
01073,40011
01075,1110
01077,5605
01079,1837
01081,9798
01083,6226
01085,399
01087,864
01089,18795
01091,938
01093,2324
01095,6632
01097,33474
01099,1617
01101,10243
01103,8219
80001,0
01105,343
01107,1005
01109,2034
01111,1557
01113,2710
01117,15010
01115,7329
01119,352
01121,6036
01123,3279
01125,10430
90001,0
01127,4864
01129,903
01131,513
01133,2047
02013,85
02016,254
02020,31151
02050,2900
02060,0
02164,349
02063,825
02066,438
02068,191
02070,723
02090,9513
02100,209
02110,2796
02122,7431
02130,1638
02150,1587
02158,958
02170,12909
02180,1844
02185,1819
02188,1647
02195,352
02198,492
02220,888
02230,69
02240,712
90002,249
02261,0
02275,170
02282,208
02290,441
60,10
04001,3973
04003,6149
04005,7621
04007,4195
04009,2952
04011,798
04012,935
04013,262797
04015,13347
04017,8330
80004,0
04019,44382
04021,29311
04023,1939
90004,0
04025,13826
04027,5654
05001,1444
05003,1229
05005,2987
05007,15111
05009,2662
05011,637
05013,194
05015,1609
05017,423
05019,1268
05021,1054
05023,2000
05025,491
05027,1073
05029,1044
05031,8842
05033,3991
05035,2966
05037,1097
05039,387
05041,586
05043,954
05045,7851
05047,1121
05049,763
05051,6054
05053,1268
05055,4306
05057,1022
05059,2691
05061,889
05063,3128
05065,1029
05067,1336
05069,3611
05071,1780
05073,317
05075,1371
05077,525
05079,497
05081,889
05083,1502
05085,5100
05087,1180
05089,1232
05091,2372
05093,2828
05095,336
05097,406
05099,591
05101,500
05103,1158
05105,747
05107,1429
05109,744
05111,1943
05113,1024
05115,4267
05117,396
05119,21222
05121,1354
05125,7072
05127,826
05129,634
05131,8008
05133,1295
05135,1557
05123,1298
05137,937
90005,2765
05139,1957
05141,994
05143,14911
05145,5942
05147,496
05149,1350
06001,36533
06003,20
06005,2101
06007,11868
06009,2312
06011,1046
06013,34876
06015,2471
06017,7688
06019,47104
06021,1655
06023,6342
06025,7677
06027,1163
06029,49064
06031,11244
06033,3591
06035,2275
06037,293627
06039,9052
06041,4375
06043,1159
06045,4751
06047,13427
06049,295
06051,621
06053,7123
06055,3592
06057,5235
06059,64204
80006,0
06061,18554
06063,1248
06065,86496
06067,63678
06069,1685
06071,74968
06073,116055
06075,18839
06077,32775
06079,9902
06081,13557
06083,12041
06085,33344
06087,5413
06089,12738
06091,151
06093,2779
