FIPS,Deaths
01001,41
01003,249
01005,20
01007,24
01009,43
01011,3
01013,27
01015,183
01017,20
01019,16
01021,53
01023,3
01025,24
01027,12
01029,19
01031,78
01033,68
01035,29
01037,14
01039,67
01041,18
01043,103
01045,76
01047,57
01049,80
01051,83
01053,60
01055,150
01057,20
01059,23
01061,53
01063,10
01065,12
01067,22
01069,132
01071,78
01073,437
01075,15
01077,58
01079,20
01081,82
01083,55
01085,11
01087,14
01089,204
01091,26
01093,27
01095,84
01097,546
01099,25
01101,168
01103,104
80001,0
01105,14
01107,25
01109,30
01111,23
01113,23
01117,113
01115,107
01119,6
01121,111
01123,49
01125,166
90001,0
01127,92
01129,13
01131,11
01133,31
02013,0
02016,0
02020,162
02050,6
02060,0
02164,0
02063,4
02066,1
02068,1
02070,4
02090,52
02100,1
02110,7
02122,38
02130,8
02150,3
02158,4
02170,62
02180,2
02185,2
02188,5
02195,2
02198,5
02220,4
02230,0
02240,6
90002,1
02261,0
02275,0
02282,0
02290,1
60,0
04001,59
04003,62
04005,33
04007,34
04009,41
04011,6
04012,19
04013,2354
04015,273
04017,97
80004,0
04019,341
04021,215
04023,15
90004,0
04025,192
04027,76
05001,24
05003,16
05005,76
05007,191
05009,47
05011,9
05013,5
05015,30
05017,4
05019,17
05021,20
05023,18
05025,7
05027,18
05029,12
05031,67
05033,54
05035,74
05037,14
05039,4
05041,9
05043,11
05045,61
05047,13
05049,16
05051,137
05053,18
05055,47
05057,19
05059,34
05061,11
05063,36
05065,14
05067,5
05069,62
05071,19
05073,18
05075,14
05077,15
05079,9
05081,32
05083,24
05085,57
05087,17
05089,27
05091,84
05093,32
05095,7
05097,12
05099,15
05101,11
05103,24
05105,11
05107,39
05109,14
05111,23
05113,38
05115,51
05117,8
05119,257
05121,13
05125,77
05127,15
05129,6
05131,105
05133,28
05135,22
05123,25
05137,13
90005,0
05139,24
05141,19
05143,135
05145,79
05147,11
05149,13
06001,162
06003,0
06005,18
06007,83
06009,32
06011,4
06013,225
06015,36
06017,44
06019,469
06021,16
06023,80
06025,45
06027,5
06029,319
06031,92
06033,63
06035,25
06037,2725
06039,52
06041,19
06043,10
06045,43
06047,145
06049,2
06051,0
06053,217
06055,20
06057,21
06059,635
80006,0
06061,148
06063,3
06065,692
06067,731
06069,12
06071,1158
06073,512
06075,120
06077,447
06079,89
06081,214
06083,76
06085,-80
06087,14
06089,167
06091,0
06093,35
06095,101
06097,88
06099,585
06101,69
06103,63
06105,8
06107,167
06109,29
90006,0
06111,173
06113,42
06115,39
08001,181
08003,14
08005,145
08007,3
08009,1
08011,6
08013,30
08014,7
08015,6
08017,1
08019,2
08021,25
08023,9
08025,9
08027,6
08029,24
08031,138
08033,3
08035,70
08037,9
08041,333
08039,10
08043,40
08045,23
08047,0
08049,9
08051,6
08053,0
08055,2
08057,0
08059,167
08061,1
08063,9
08067,15
08065,1
08069,80
08071,11
08073,4
08075,16
08077,124
08079,0
08081,22
08083,13
08085,30
08087,6
08089,19
08091,2
80008,0
08093,5
08095,1
08097,1
08099,9
08101,123
08103,5
08105,9
08107,3
08109,4
08111,1
08113,5
08115,2
08117,4
08119,18
90008,0
08121,7
08123,126
08125,1
09001,143
09003,191
09005,34
09007,33
09009,165
09011,53
09013,16
90009,5
09015,29
10001,111
10003,207
10005,147
90010,0
88888,0
11001,86
12001,10
12003,2
12005,8
12007,2
12009,53
12011,177
12013,2
12015,21
12017,19
12019,12
12021,23
12023,1
12027,4
12029,0
12031,92
12033,27
12035,3
12037,3
12039,5
12041,1
12043,0
12045,3
12047,0
12049,2
12051,5
12053,23
12055,15
12057,121
12059,0
12061,7
12063,2
12065,1
12067,0
12069,30
12071,50
12073,18
12075,3
12077,0
12079,0
12081,25
12083,41
12085,15
12086,297
12087,3
12089,3
12091,6
12093,1
12095,61
12097,29
12099,113
12101,59
12103,62
12105,77
12107,15
12113,6
12115,32
12117,28
12109,12
12111,31
12119,9
12121,2
12123,2
90012,22697
12125,2
12127,54
12129,1
12131,2
12133,1
13001,32
13003,18
13005,25
13007,5
13009,61
13011,27
13013,63
13015,124
13017,22
13019,23
13021,185
13023,24
13025,50
13027,23
13029,30
13031,88
13033,23
13035,32
13037,6
13039,61
13043,22
13045,70
13047,39
13049,22
13051,236
13053,4
13055,33
13057,136
13059,35
13061,1
13063,259
13065,9
13067,348
13069,57
13071,69
13073,94
13075,19
13077,149
13079,24
13081,30
13083,6
13085,28
13089,331
13087,28
13091,24
13093,14
13095,110
13097,78
13099,9
13101,2
13103,97
13105,15
13107,51
13109,24
13111,35
13113,67
13115,154
13117,86
13119,29
13121,412
13123,51
13125,1
13127,164
13129,81
13131,28
13133,6
13135,315
13137,46
13139,176
13141,16
13143,37
