FIPS,Recip_County,Recip_State,Series_Complete_18PlusPop_Pct,Census2019_18PlusPop
48199,Hardin County,TX,0.0,43549.0
17037,DeKalb County,IL,41.8,82430.0
27155,Traverse County,MN,55.7,2579.0
06109,Tuolumne County,CA,46.9,45325.0
29219,Warren County,MO,35.8,27228.0
08055,Huerfano County,CO,19.7,5787.0
02188,Northwest Arctic Borough,AK,57.4,4862.0
72057,Guayama Municipio,PR,42.8,32388.0
72139,Trujillo Alto Municipio,PR,35.1,52255.0
32009,Esmeralda County,NV,34.7,750.0
38011,Bowman County,ND,35.9,2286.0
49019,Grand County,UT,51.5,7655.0
16013,Blaine County,ID,73.3,18163.0
17105,Livingston County,IL,36.5,27965.0
21145,McCracken County,KY,46.6,50902.0
01087,Macon County,AL,32.8,14972.0
22083,Richland Parish,LA,35.7,15459.0
26151,Sanilac County,MI,40.3,32362.0
27061,Itasca County,MN,51.1,35785.0
02261,Valdez-Cordova Census Area,AK,53.5,7054.0
37023,Burke County,NC,38.2,73860.0
22097,St. Landry Parish,LA,31.3,60364.0
20095,Kingman County,KS,42.1,5564.0
39123,Ottawa County,OH,42.2,33194.0
55133,Waukesha County,WI,60.9,318146.0
26081,Kent County,MI,54.6,499890.0
20009,Barton County,KS,37.5,19708.0
21153,Magoffin County,KY,38.8,9451.0
42065,Jefferson County,PA,45.5,34209.0
21039,Carlisle County,KY,31.9,3663.0
48169,Garza County,TX,0.0,5187.0
06053,Monterey County,CA,56.2,321346.0
38029,Emmons County,ND,30.4,2608.0
17113,McLean County,IL,48.8,135072.0
05001,Arkansas County,AR,42.6,13479.0
39061,Hamilton County,OH,47.0,630410.0
21119,Knott County,KY,38.4,11867.0
37107,Lenoir County,NC,42.0,43423.0
31109,Lancaster County,NE,59.9,246901.0
42029,Chester County,PA,55.7,407024.0
28079,Leake County,MS,33.8,16984.0
49001,Beaver County,UT,37.6,4534.0
33011,Hillsborough County,NH,50.2,332922.0
34017,Hudson County,NJ,54.9,535676.0
45009,Bamberg County,SC,34.6,11424.0
36045,Jefferson County,NY,58.4,83485.0
49029,Morgan County,UT,35.4,7927.0
06069,San Benito County,CA,49.0,46822.0
51029,Buckingham County,VA,8.6,14117.0
46015,Brule County,SD,38.1,3932.0
48407,San Jacinto County,TX,0.0,22737.0
47083,Houston County,TN,31.5,6469.0
13235,Pulaski County,GA,5.3,9128.0
01075,Lamar County,AL,30.0,10853.0
13159,Jasper County,GA,10.8,10924.0
12053,Hernando County,FL,41.8,158562.0
25019,Nantucket County,MA,1.1,9029.0
06095,Solano County,CA,50.3,349187.0
39063,Hancock County,OH,38.2,59054.0
21147,McCreary County,KY,33.7,13525.0
37035,Catawba County,NC,44.8,124631.0
13187,Lumpkin County,GA,3.4,27813.0
42061,Huntingdon County,PA,41.8,37218.0
72011,Anasco Municipio,PR,42.4,21469.0
72041,Cidra Municipio,PR,45.7,31437.0
48239,Jackson County,TX,0.0,11014.0
