FIPS,Recip_County,Recip_State,Series_Complete_18PlusPop_Pct,Census2019_18PlusPop
38005,Benson County,ND,56.3,4430.0
26069,Iosco County,MI,55.0,20954.0
35003,Catron County,NM,31.3,3113.0
48267,Kimble County,TX,0.0,3555.0
26077,Kalamazoo County,MI,61.0,208176.0
02020,Anchorage Municipality,AK,61.3,218802.0
01019,Cherokee County,AL,26.7,21249.0
21045,Casey County,KY,34.5,12457.0
21027,Breckinridge County,KY,42.6,15872.0
55059,Kenosha County,WI,59.6,131558.0
55011,Buffalo County,WI,51.5,10366.0
47031,Coffee County,TN,44.0,42935.0
45041,Florence County,SC,53.1,105779.0
40079,Le Flore County,OK,38.9,37923.0
48137,Edwards County,TX,0.0,1512.0
36109,Tompkins County,NY,76.0,87204.0
24001,Allegany County,MD,52.9,58261.0
26021,Berrien County,MI,56.4,120265.0
19173,Taylor County,IA,51.7,4687.0
13261,Sumter County,GA,38.6,22842.0
13167,Johnson County,GA,10.5,7827.0
21157,Marshall County,KY,53.0,24726.0
29103,Knox County,MO,42.4,3029.0
18155,Switzerland County,IN,33.3,8103.0
20005,Atchison County,KS,44.0,12413.0
19175,Union County,IA,53.7,9514.0
16035,Clearwater County,ID,39.4,7374.0
01037,Coosa County,AL,31.9,8916.0
16053,Jerome County,ID,43.2,16966.0
30045,Judith Basin County,MT,40.0,1613.0
18029,Dearborn County,IN,54.6,38619.0
48107,Crosby County,TX,0.0,4242.0
51057,Essex County,VA,15.6,8935.0
47085,Humphreys County,TN,38.2,14586.0
40115,Ottawa County,OK,39.3,23449.0
40125,Pottawatomie County,OK,46.4,55626.0
06081,San Mateo County,CA,80.4,611410.0
51670,Hopewell city,VA,0.4,16678.0
22101,St. Mary Parish,LA,44.2,37551.0
34027,Morris County,NJ,78.7,389368.0
18009,Blackford County,IN,47.7,9231.0
08049,Grand County,CO,61.5,13108.0
33013,Merrimack County,NH,70.4,122788.0
51093,Isle of Wight County,VA,17.9,29386.0
13287,Turner County,GA,18.8,6029.0
18025,Crawford County,IN,38.7,8278.0
40153,Woodward County,OK,38.8,15345.0
13219,Oconee County,GA,28.6,29670.0
18051,Gibson County,IN,49.2,25665.0
48261,Kenedy County,TX,0.0,304.0
26009,Antrim County,MI,59.3,19206.0
16011,Bingham County,ID,48.7,32589.0
18169,Wabash County,IN,44.3,24603.0
51187,Warren County,VA,5.6,31478.0
30067,Park County,MT,57.4,13759.0
39071,Highland County,OH,32.2,32974.0
05103,Ouachita County,AR,51.2,18168.0
56029,Park County,WY,46.2,23235.0
28149,Warren County,MS,54.5,34677.0
21083,Graves County,KY,44.1,28286.0
17149,Pike County,IL,40.5,12055.0
37145,Person County,NC,53.1,31361.0
13313,Whitfield County,GA,21.3,77675.0
19093,Ida County,IA,53.8,5173.0
28089,Madison County,MS,64.0,79989.0
13123,Gilmer County,GA,11.4,25438.0
55093,Pierce County,WI,45.0,33941.0
06049,Modoc County,CA,0.0,7122.0
45067,Marion County,SC,46.3,23752.0
72141,Utuado Municipio,PR,65.5,22482.0
27135,Roseau County,MN,54.1,11497.0
13185,Lowndes County,GA,26.6,89086.0
28129,Smith County,MS,30.5,12265.0
46045,Edmunds County,SD,36.9,2946.0
48401,Rusk County,TX,0.0,42382.0
31117,McPherson County,NE,12.9,404.0
01041,Crenshaw County,AL,30.1,10636.0
29039,Cedar County,MO,34.0,10894.0
18091,LaPorte County,IN,58.7,86579.0
56017,Hot Springs County,WY,47.6,3506.0
16083,Twin Falls County,ID,47.5,63074.0
21177,Muhlenberg County,KY,49.3,24386.0
46071,Jackson County,SD,44.1,2179.0
39007,Ashtabula County,OH,42.0,75893.0
18123,Perry County,IN,57.9,15136.0
18141,St. Joseph County,IN,62.1,208208.0
21201,Robertson County,KY,38.9,1676.0
31175,Valley County,NE,33.8,3208.0
05069,Jefferson County,AR,38.3,52303.0
39051,Fulton County,OH,37.9,32285.0
31063,Frontier County,NE,25.3,2122.0
48141,El Paso County,TX,0.0,614819.0
35013,Dona Ana County,NM,61.2,165267.0
12079,Madison County,FL,40.2,15088.0
20033,Comanche County,KS,49.8,1297.0
26141,Presque Isle County,MI,60.4,10639.0
05039,Dallas County,AR,54.2,5538.0
54005,Boone County,WV,36.0,17009.0
13133,Greene County,GA,43.2,14883.0
28007,Attala County,MS,49.3,13642.0
21017,Bourbon County,KY,56.0,15331.0
19061,Dubuque County,IA,68.5,75191.0
54033,Harrison County,WV,24.7,53009.0
21239,Woodford County,KY,73.3,20902.0
48393,Roberts County,TX,0.0,656.0
19019,Buchanan County,IA,58.9,15684.0
13085,Dawson County,GA,9.8,20853.0
29037,Cass County,MO,50.4,80578.0
01085,Lowndes County,AL,43.6,7587.0
08105,Rio Grande County,CO,62.9,8747.0
37003,Alexander County,NC,43.7,30040.0
30023,Deer Lodge County,MT,54.3,7888.0
42033,Clearfield County,PA,51.3,64899.0
18067,Howard County,IN,49.7,63822.0
37077,Granville County,NC,55.6,48058.0
22089,St. Charles Parish,LA,56.6,40257.0
50027,Windsor County,VT,49.8,45228.0
51111,Lunenburg County,VA,39.1,9892.0
54003,Berkeley County,WV,35.9,91718.0
17093,Kendall County,IL,62.1,92730.0
46102,Oglala Lakota County,SD,67.2,8964.0
19031,Cedar County,IA,62.6,14538.0
22117,Washington Parish,LA,40.2,35181.0
31109,Lancaster County,NE,67.4,246901.0
16025,Camas County,ID,42.5,862.0
37183,Wake County,NC,69.2,849055.0
20177,Shawnee County,KS,61.4,135735.0
21223,Trimble County,KY,44.9,6628.0
26095,Luce County,MI,44.6,5226.0
25011,Franklin County,MA,65.1,58196.0
48255,Karnes County,TX,0.0,12282.0
38055,McLean County,ND,45.6,7372.0
28073,Lamar County,MS,56.0,47718.0
40093,Major County,OK,51.0,5663.0
51081,Greensville County,VA,5.9,9475.0
06111,Ventura County,CA,70.4,655095.0
05079,Lincoln County,AR,30.7,10905.0
48117,Deaf Smith County,TX,0.0,12826.0
46043,Douglas County,SD,42.7,2160.0
32510,Carson City,NV,64.6,44568.0
48237,Jack County,TX,0.0,6995.0
28095,Monroe County,MS,47.8,27316.0
54063,Monroe County,WV,30.3,10695.0
05067,Jackson County,AR,36.6,13358.0
53021,Franklin County,WA,52.6,64719.0
31067,Gage County,NE,42.2,16624.0
