FIPS,Deaths
1001,33
1003,203
1005,15
1007,20
1009,25
1011,3
1013,21
1015,116
1017,14
1019,12
1021,35
1023,3
1025,20
1027,10
1029,12
1031,66
1033,52
1035,20
1037,7
1039,53
1041,14
1043,73
1045,64
1047,40
1049,60
1051,63
1053,49
1055,116
1057,11
1059,20
1061,45
1063,9
1065,10
1067,15
1069,107
1071,52
1073,282
1075,11
1077,45
1079,10
1081,56
1083,43
1085,7
1087,9
1089,142
1091,21
1093,23
1095,58
1097,454
1099,17
1101,99
1103,63
80001,0
1105,11
1107,17
1109,22
1111,16
1113,18
1117,75
1115,79
1119,4
1121,73
1123,37
1125,103
90001,0
1127,59
1129,10
1131,9
1133,25
2013,0
2016,0
2020,102
2050,4
2060,0
2164,0
2063,0
2066,1
2068,1
2070,3
2090,29
2100,0
2110,4
2122,21
2130,6
2150,2
2158,1
2170,37
2180,0
2185,1
2188,2
2195,2
2198,4
2220,4
2230,0
2240,5
90002,0
2261,0
2275,0
2282,0
2290,1
4001,45
4003,44
4005,20
4007,33
4009,21
4011,5
4012,9
4013,1577
4015,216
4017,68
80004,0
4019,244
4021,143
4023,14
90004,0
4025,141
4027,66
5001,20
5003,8
5005,67
5007,161
5009,34
5011,5
5013,4
5015,22
5017,3
5019,10
5021,8
5023,14
5025,7
5027,10
5029,10
5031,55
5033,46
5035,26
5037,9
5039,3
5041,5
5043,11
5045,53
5047,13
5049,8
5051,110
5053,15
5055,38
5057,5
5059,33
5061,5
5063,29
5065,14
5067,4
5069,58
5071,18
5073,3
5075,9
5077,11
5079,7
5081,3
5083,12
5085,52
5087,12
5089,25
5091,7
5093,22
5095,4
5097,7
5099,6
5101,8
5103,14
5105,10
5107,31
5109,13
5111,19
5113,26
5115,42
5117,7
5119,224
5121,4
5125,69
5127,11
5129,6
5131,71
5133,10
5135,17
5123,17
5137,10
90005,0
5139,14
5141,14
5143,108
5145,63
5147,10
5149,11
6001,73
6003,0
6005,15
6007,45
6009,22
6011,4
6013,133
6015,33
6017,26
6019,286
6021,9
6023,58
6025,36
6027,3
6029,190
6031,55
6033,54
6035,12
6037,2187
6039,31
6041,14
6043,6
6045,32
6047,108
6049,2
6051,0
6053,192
6055,15
6057,17
6059,467
80006,0
6061,94
6063,2
6065,483
6067,497
6069,6
6071,888
6073,372
6075,93
6077,321
6079,69
6081,162
6083,55
6085,-126
6087,7
6089,73
6091,0
6093,31
6095,72
6097,64
6099,325
6101,50
6103,40
6105,7
6107,73
6109,28
90006,0
6111,143
6113,34
6115,22
8001,126
8003,12
8005,89
8007,3
8009,1
8011,2
8013,14
8014,3
8015,3
8017,1
8019,1
8021,20
8023,4
8025,4
8027,5
8029,18
8031,100
8033,1
8035,32
8037,9
8041,219
8039,6
8043,18
8045,21
8047,0
8049,3
8051,3
8053,0
8055,1
8057,0
8059,117
8061,1
8063,3
8067,12
8065,1
8069,45
8071,9
8073,2
8075,7
8077,82
8079,0
8081,9
8083,9
8085,20
8087,5
8089,9
8091,2
80008,0
8093,2
8095,1
8097,1
8099,4
8101,79
8103,4
8105,6
8107,2
8109,4
8111,1
8113,3
8115,2
8117,3
8119,10
90008,0
8121,2
8123,64
8125,1
9001,113
9003,151
9005,20
9007,25
9009,140
9011,42
9013,14
90009,10
9015,17
10001,72
10003,153
10005,103
90010,0
88888,0
11001,69
12001,10
12003,2
12005,8
12007,2
12009,53
12011,177
12013,2
12015,21
12017,19
12019,12
12021,23
12023,1
12027,4
12029,0
12031,92
12033,27
12035,3
12037,3
12039,5
12041,1
12043,0
12045,3
12047,0
12049,2
12051,5
12053,23
12055,15
12057,121
12059,0
12061,7
12063,2
12065,1
12067,0
12069,30
12071,50
12073,18
12075,3
12077,0
12079,0
12081,25
12083,41
12085,15
12086,297
12087,3
12089,3
12091,6
12093,1
12095,61
12097,29
12099,113
12101,59
12103,62
12105,77
12107,15
12113,6
12115,32
12117,28
12109,12
12111,31
12119,9
12121,2
12123,2
90012,18036
12125,2
12127,54
12129,1
12131,2
12133,1
13001,19
13003,9
13005,16
13007,5
13009,41
13011,21
13013,40
13015,88
13017,15
13019,15
13021,127
13023,14
13025,38
13027,15
13029,17
13031,60
13033,12
13035,15
13037,5
13039,50
13043,15
13045,47
13047,22
13049,19
13051,151
13053,2
13055,20
13057,93
13059,22
13061,1
13063,174
13065,7
13067,229
13069,33
13071,49
13073,58
13075,11
13077,86
13079,18
13081,26
13083,3
13085,16
13089,208
13087,22
13091,16
13093,8
13095,71
13097,49
13099,8
13101,0
13103,72
13105,9
13107,22
13109,16
13111,27
13113,40
13115,92
13117,49
13119,20
13121,265
13123,37
13125,0
13127,140
13129,59
13131,23
13133,5
13135,205
13137,20
13139,114
13141,10
13143,22
13145,17
13147,9
13149,13
13151,113
13153,81
13155,4
13157,36
13159,15
13161,11
13163,13
13165,6
13167,8
13169,23
13171,24
13173,2
13175,54
13177,17
13179,26
13181,6
13183,9
13185,72
13187,21
13193,8
13195,9
13197,14
13189,18
13191,10
13199,16
13201,5
13205,15
13207,38
13209,12
13211,7
13213,31
13215,117
13217,74
13219,5
13221,9
80013,234
13223,86
13225,31
13227,24
13229,34
13231,23
13233,43
13235,12
13237,17
13239,2
13241,8
13243,5
13245,115
13247,45
13249,2
13251,19
13253,4
13255,65
13257,12
13259,3
13261,17
13263,5
13265,0
13267,36
13269,8
13271,8
13273,9
13275,44
13277,37
13279,42
13281,20
13283,17
13285,59
13287,9
13289,16
90013,-8
13291,30
13293,30
13295,38
13297,51
13299,51
13301,6
13303,22
13305,66
13307,2
13309,9
13311,36
13313,70
13315,6
13317,7
13319,9
13321,15
99999,0
66,61
15001,37
15003,218
15007,6
15009,36
80015,2
90015,0
16001,165
16003,4
16005,39
16007,9
16009,7
16011,20
16013,3
16015,5
16017,27
16019,27
16021,10
16023,2
16025,1
16027,131
16029,2
16031,5
16033,0
16035,12
16037,2
16039,19
16041,4
16043,1
16045,14
16047,10
16049,8
16051,10
16053,15
16055,116
16057,15
16059,4
16061,8
16063,0
16065,7
16067,7
16069,31
16071,2
16073,8
16075,15
16077,3
16079,18
16081,1
16083,55
90016,0
16085,2
16087,17
17001,29
17003,0
17005,0
17007,12
17009,2
17011,6
17013,0
17015,1
17017,5
17019,44
17021,8
17023,7
17025,6
17027,10
17029,22
17031,1080
17033,4
17035,7
17039,6
17037,14
17041,1
17043,98
17045,6
17047,4
17049,13
17051,4
17053,12
17055,32
17057,19
17059,3
17061,6
17063,11
17065,6
17067,3
17069,3
17071,0
17073,13
17075,10
17077,28
17079,2
17081,18
17083,4
17085,3
17087,13
17089,92
17091,30
17093,16
17095,29
17099,43
17097,91
