FIPS,Recip_County,Recip_State,Series_Complete_18PlusPop_Pct,Census2019_18PlusPop,Deaths
21011,Bath County,KY,59.7,9305.0,7
17079,Jasper County,IL,39.3,7381.0,2
18045,Fountain County,IN,51.0,12798.0,11
48335,Mitchell County,TX,0.0,6782.0,6
30055,McCone County,MT,19.9,1313.0,1
13317,Wilkes County,GA,18.8,7735.0,7
37127,Nash County,NC,59.0,73765.0,40
40069,Johnston County,OK,44.7,8428.0,8
51800,Suffolk city,VA,53.5,70152.0,32
72149,Villalba Municipio,PR,86.2,17539.0,0
30075,Powder River County,MT,22.5,1399.0,3
27163,Washington County,MN,70.5,198767.0,42
39121,Noble County,OH,44.1,11732.0,6
19195,Worth County,IA,56.0,5851.0,0
18177,Wayne County,IN,52.3,51411.0,37
46127,Union County,SD,54.6,12054.0,0
13149,Heard County,GA,14.7,9284.0,13
13043,Candler County,GA,22.1,8107.0,15
39011,Auglaize County,OH,44.3,34708.0,12
12051,Hendry County,FL,51.6,30800.0,5
51510,Alexandria city,VA,63.6,130736.0,11
29099,Jefferson County,MO,46.2,173549.0,64
39119,Muskingum County,OH,52.4,66777.0,39
19141,O'Brien County,IA,57.4,10467.0,3
26161,Washtenaw County,MI,71.8,299837.0,47
17119,Madison County,IL,57.8,205885.0,64
19039,Clarke County,IA,60.7,6991.0,3
17107,Logan County,IL,49.2,23117.0,17
51067,Franklin County,VA,46.3,45536.0,19
13063,Clayton County,GA,22.9,211634.0,174
51790,Staunton city,VA,54.4,20109.0,8
28139,Tippah County,MS,46.1,16711.0,13
28047,Harrison County,MS,56.2,158574.0,199
37145,Person County,NC,57.3,31361.0,18
22001,Acadia Parish,LA,58.7,46040.0,49
28053,Humphreys County,MS,60.0,5964.0,6
31095,Jefferson County,NE,59.7,5530.0,0
17049,Effingham County,IL,47.6,25870.0,13
55057,Juneau County,WI,55.0,21357.0,6
45081,Saluda County,SC,32.2,16103.0,1
26077,Kalamazoo County,MI,62.6,208176.0,76
16009,Benewah County,ID,52.7,7245.0,7
31023,Butler County,NE,55.9,6173.0,0
27147,Steele County,MN,64.7,27631.0,6
54055,Mercer County,WV,46.4,46591.0,40
