FIPS,Deaths
01001,7
01003,22
01005,5
01007,2
01009,4
01011,1
01013,3
01015,20
01017,2
01019,3
01021,6
01023,1
01025,3
01027,3
01029,4
01031,17
01033,8
01035,2
01037,1
01039,8
01041,1
01043,12
01045,6
01047,13
01049,6
01051,12
01053,7
01055,18
01057,2
01059,-1
01061,8
01063,2
01065,2
01067,1
01069,12
01071,7
01073,73
01075,4
01077,16
01079,3
01081,13
01083,8
01085,1
01087,3
01089,32
01091,3
01093,6
01095,13
01097,56
01099,1
01101,40
01103,11
80001,0
01105,2
01107,3
01109,2
01111,3
01113,4
01117,10
01115,15
01119,0
01121,13
01123,6
01125,14
90001,0
01127,8
01129,0
01131,3
01133,1
02013,0
02016,0
02020,12
02050,1
02060,0
02164,0
02063,0
02066,0
02068,0
02070,0
02090,7
02100,0
02110,0
02122,1
02130,0
02150,1
02158,0
02170,14
02180,0
02185,0
02188,0
02195,1
02198,3
02220,1
02230,0
02240,1
90002,0
02261,0
02275,0
02282,0
02290,0
04001,10
04003,13
04005,3
04007,5
04009,10
04011,0
04012,-2
04013,570
04015,72
04017,27
80004,0
04019,63
04021,51
04023,6
90004,0
04025,39
04027,19
05001,5
05003,3
05005,17
05007,23
05009,2
05011,1
05013,1
05015,6
05017,0
05019,-1
05021,2
05023,0
05025,3
05027,2
05029,4
05031,11
05033,6
05035,2
05037,3
05039,2
05041,-1
05043,5
05045,13
05047,1
05049,1
05051,14
05053,6
05055,5
05057,0
05059,9
05061,0
05063,6
05065,4
05067,0
05069,13
05071,1
05073,1
05075,0
05077,4
05079,1
05081,1
05083,1
05085,13
05087,4
05089,3
05091,0
05093,4
05095,2
05097,0
05099,2
05101,1
05103,4
05105,3
05107,8
05109,1
05111,5
05113,2
05115,6
05117,2
05119,54
05121,1
05125,18
05127,2
05129,0
05131,15
05133,0
05135,7
05123,4
05137,2
90005,0
05139,3
05141,3
05143,19
05145,15
05147,1
05149,1
06001,-5
06003,0
06005,2
06007,7
06009,7
06011,2
06013,32
06015,2
06017,6
06019,66
06021,3
06023,16
06025,22
06027,2
06029,71
06031,2
06033,23
06035,2
06037,772
06039,10
06041,11
06043,0
06045,3
06047,30
06049,2
06051,0
06053,146
06055,1
06057,2
06059,179
06061,19
06063,1
06065,142
06067,118
06069,0
06071,588
06073,92
06075,21
06077,118
06079,6
06081,137
06083,14
06085,111
06087,0
06089,15
06091,0
06093,20
06095,14
06097,11
06099,261
06101,17
06103,13
06105,0
06107,19
06109,3
90006,0
06111,39
06113,7
06115,6
08001,64
08003,8
08005,61
08007,1
08009,0
08011,1
08013,6
08014,2
08015,0
08017,0
08019,0
08021,15
08023,3
08025,2
08027,1
08029,9
08031,46
08033,1
08035,18
08037,1
08041,114
08039,2
08043,9
08045,14
08047,0
08049,0
08051,0
08053,0
08055,1
08057,0
08059,62
08061,0
08063,1
08067,3
08065,1
08069,15
08071,3
08073,0
08075,2
08077,56
08079,0
08081,5
08083,4
08085,14
08087,3
08089,2
08091,1
80008,0
08093,0
08095,0
08097,0
08099,1
08101,50
08103,1
08105,4
08107,1
08109,4
08111,0
08113,1
08115,1
08117,1
08119,4
90008,0
08121,1
08123,23
08125,0
09001,38
09003,48
09005,5
09007,12
09009,71
09011,10
09013,6
90009,1
09015,5
10001,48
10003,94
10005,62
90010,0
88888,0
11001,44
12001,10
12003,2
12005,8
12007,2
12009,53
12011,177
12013,2
12015,21
12017,19
12019,12
12021,23
12023,1
12027,4
12029,0
12031,92
12033,27
12035,3
12037,3
12039,5
12041,1
12043,0
12045,3
12047,0
12049,2
12051,5
12053,23
12055,15
12057,121
12059,0
12061,7
12063,2
12065,1
12067,0
12069,30
12071,50
12073,18
12075,3
12077,0
12079,0
12081,25
12083,41
12085,15
12086,297
12087,3
12089,3
12091,6
12093,1
12095,61
12097,29
12099,113
12101,59
12103,62
12105,77
12107,15
12113,6
12115,32
12117,28
12109,12
12111,31
12119,9
12121,2
12123,2
90012,2106
12125,2
12127,54
12129,1
12131,2
12133,1
13001,1
13003,4
13005,4
13007,2
13009,9
13011,6
13013,11
13015,19
13017,5
13019,4
13021,22
13023,1
13025,4
13027,3
13029,3
13031,9
13033,4
13035,7
13037,1
13039,8
13043,3
13045,9
13047,7
13049,3
13051,20
13053,2
13055,5
13057,22
13059,5
13061,0
