,FIPS,Recip_County,Recip_State,Series_Complete_18PlusPop_Pct,Census2019_18PlusPop,Deaths
0,01001,Autauga County,AL,45.3,42904.0,50
1,01003,Baldwin County,AL,55.9,175680.0,283
2,01005,Barbour County,AL,49.0,19604.0,24
3,01007,Bibb County,AL,38.2,17837.0,31
4,01009,Blount County,AL,35.8,44571.0,57
5,01011,Bullock County,AL,54.6,7995.0,4
6,01013,Butler County,AL,44.0,15174.0,31
7,01015,Calhoun County,AL,52.9,89132.0,206
8,01017,Chambers County,AL,35.0,26341.0,19
9,01019,Cherokee County,AL,35.4,21249.0,18
10,01021,Chilton County,AL,41.4,33837.0,59
11,01023,Choctaw County,AL,72.8,10109.0,4
12,01025,Clarke County,AL,57.2,18589.0,26
13,01027,Clay County,AL,47.9,10566.0,13
14,01029,Cleburne County,AL,36.5,11549.0,19
15,01031,Coffee County,AL,45.6,39948.0,77
16,01033,Colbert County,AL,53.7,43686.0,74
17,01035,Conecuh County,AL,47.1,9593.0,34
18,01037,Coosa County,AL,43.4,8916.0,19
19,01039,Covington County,AL,43.5,28887.0,78
20,01041,Crenshaw County,AL,39.3,10636.0,20
21,01043,Cullman County,AL,44.4,64956.0,110
22,01045,Dale County,AL,62.0,37984.0,81
23,01047,Dallas County,AL,50.4,28521.0,59
24,01049,DeKalb County,AL,38.9,54392.0,84
25,01051,Elmore County,AL,50.3,63080.0,89
26,01053,Escambia County,AL,41.5,28407.0,68
27,01055,Etowah County,AL,46.5,80492.0,166
28,01057,Fayette County,AL,39.1,12869.0,23
29,01059,Franklin County,AL,51.4,23590.0,26
30,01061,Geneva County,AL,44.3,20504.0,61
31,01063,Greene County,AL,56.0,6343.0,11
32,01065,Hale County,AL,68.8,11279.0,13
33,01067,Henry County,AL,50.6,13697.0,22
34,01069,Houston County,AL,49.2,81594.0,145
35,01071,Jackson County,AL,54.7,40943.0,84
36,01073,Jefferson County,AL,64.0,508723.0,488
37,01075,Lamar County,AL,49.8,10853.0,19
38,01077,Lauderdale County,AL,51.2,74683.0,68
39,01079,Lawrence County,AL,53.9,25831.0,31
40,01081,Lee County,AL,42.8,129821.0,95
41,01083,Limestone County,AL,41.8,76842.0,69
42,01085,Lowndes County,AL,53.7,7587.0,15
43,01087,Macon County,AL,49.6,14972.0,15
44,01089,Madison County,AL,66.3,292195.0,231
45,01091,Marengo County,AL,61.7,14616.0,29
46,01093,Marion County,AL,41.4,23539.0,30
47,01095,Marshall County,AL,53.1,72438.0,94
48,01097,Mobile County,AL,55.7,316868.0,577
49,01099,Monroe County,AL,48.6,16360.0,26
50,01101,Montgomery County,AL,59.1,173598.0,196
51,01103,Morgan County,AL,49.8,92334.0,127
52,01105,Perry County,AL,53.0,7056.0,14
53,01107,Pickens County,AL,53.6,16066.0,29
54,01109,Pike County,AL,44.9,26819.0,32
55,01111,Randolph County,AL,38.7,17925.0,26
56,01113,Russell County,AL,45.0,43974.0,27
57,01115,St. Clair County,AL,44.6,69336.0,121
58,01117,Shelby County,AL,40.0,167202.0,123
59,01119,Sumter County,AL,53.6,10067.0,9
60,01121,Talladega County,AL,41.1,63273.0,124
61,01123,Tallapoosa County,AL,43.8,32134.0,51
62,01125,Tuscaloosa County,AL,48.0,165385.0,190
63,01127,Walker County,AL,54.3,49388.0,101
64,01129,Washington County,AL,53.0,12722.0,13
65,01131,Wilcox County,AL,59.5,7954.0,10
66,01133,Winston County,AL,24.9,18864.0,38
67,02013,Aleutians East Borough,AK,72.2,3084.0,0
68,02016,Aleutians West Census Area,AK,61.2,4993.0,1
69,02020,Anchorage Municipality,AK,70.7,218802.0,224
70,02050,Bethel Census Area,AK,79.8,11848.0,6
71,02060,Bristol Bay Borough,AK,99.9,687.0,0
72,02068,Denali Borough,AK,55.4,1698.0,1
73,02070,Dillingham Census Area,AK,58.1,3371.0,6
74,02090,Fairbanks North Star Borough,AK,62.0,73845.0,70
75,02100,Haines Borough,AK,75.6,2074.0,1
76,02110,Juneau City and Borough,AK,78.8,25225.0,9
77,02122,Kenai Peninsula Borough,AK,52.7,45527.0,46
78,02130,Ketchikan Gateway Borough,AK,70.3,10884.0,11
79,02150,Kodiak Island Borough,AK,72.1,9757.0,4
80,02158,Kusilvak Census Area,AK,84.2,4874.0,5
81,02164,Lake and Peninsula Borough,AK,66.5,1136.0,1
82,02170,Matanuska-Susitna Borough,AK,44.0,79732.0,101
