Date,FIPS,MMWR_week,Recip_County,Recip_State,Completeness_pct,Administered_Dose1_Recip,Administered_Dose1_Pop_Pct,Administered_Dose1_Recip_5Plus,Administered_Dose1_Recip_5PlusPop_Pct,Administered_Dose1_Recip_12Plus,Administered_Dose1_Recip_12PlusPop_Pct,Administered_Dose1_Recip_18Plus,Administered_Dose1_Recip_18PlusPop_Pct,Administered_Dose1_Recip_65Plus,Administered_Dose1_Recip_65PlusPop_Pct,Series_Complete_Yes,Series_Complete_Pop_Pct,Series_Complete_5Plus,Series_Complete_5PlusPop_Pct,Series_Complete_12Plus,Series_Complete_12PlusPop_Pct,Series_Complete_18Plus,Series_Complete_18PlusPop_Pct,Series_Complete_65Plus,Series_Complete_65PlusPop_Pct,Booster_Doses,Booster_Doses_Vax_Pct,Booster_Doses_12Plus,Booster_Doses_12Plus_Vax_Pct,Booster_Doses_18Plus,Booster_Doses_18Plus_Vax_Pct,Booster_Doses_50Plus,Booster_Doses_50Plus_Vax_Pct,Booster_Doses_65Plus,Booster_Doses_65Plus_Vax_Pct,SVI_CTGY,Series_Complete_Pop_Pct_SVI,Series_Complete_5PlusPop_Pct_SVI,Series_Complete_12PlusPop_Pct_SVI,Series_Complete_18PlusPop_Pct_SVI,Series_Complete_65PlusPop_Pct_SVI,Metro_status,Series_Complete_Pop_Pct_UR_Equity,Series_Complete_5PlusPop_Pct_UR_Equity,Series_Complete_12PlusPop_Pct_UR_Equity,Series_Complete_18PlusPop_Pct_UR_Equity,Series_Complete_65PlusPop_Pct_UR_Equity,Census2019,Census2019_5PlusPop,Census2019_12PlusPop,Census2019_18PlusPop,Census2019_65PlusPop
02/01/2022,13179,5,Liberty County,GA,89.7,45665,74.3,45660,83,44797,92.4,42245,95,5682,95,36488,59.4,36488,66.3,36013,74.2,33971,77.1,4985,84.4,5539,15.2,5539,15.4,5446,16,3947,34.2,2113,42.4,D,16,16,16,16,16,Metro,4,4,4,4,4,61435,55036,48507,44034,5908
02/01/2022,46045,5,Edmunds County,SD,96.7,2050,53.5,2050,57.1,2023,62.2,1928,65.4,823,95,1707,44.6,1707,47.5,1691,52,1610,54.7,682,80.9,803,47,803,47.5,798,49.6,666,58.9,451,66.1,A,3,3,4,4,4,Non-metro,7,7,8,8,8,3829,3593,3252,2946,843
02/01/2022,18027,5,Daviess County,IN,98.6,11909,35.7,11909,38.9,11758,43.9,11243,47.8,3727,72.4,10796,32.4,10796,35.3,10718,40,10284,43.8,3585,69.7,4026,37.3,4026,37.6,3983,38.7,3280,50.3,2133,59.5,C,10,10,11,11,11,Non-metro,6,6,7,7,7,33351,30603,26774,23504,5147
02/01/2022,20007,5,Barber County,KS,93.5,2287,51.7,2287,55.1,2255,60.3,2194,64.5,916,89.6,2031,45.9,2031,48.9,2014,53.8,1965,57.8,844,82.6,867,42.7,867,43,865,44,737,52.7,528,62.6,B,7,7,8,8,8,Non-metro,7,7,8,8,8,4427,4154,3742,3401,1022
02/01/2022,20127,5,Morris County,KS,93.5,3424,60.9,3424,64.7,3321,68.7,3118,70,1194,87,3080,54.8,3080,58.2,2997,62,2804,63,1093,79.6,1621,52.6,1621,54.1,1565,55.8,1194,64.4,779,71.3,A,4,4,4,4,4,Non-metro,8,8,8,8,8,5620,5295,4837,4453,1373
02/01/2022,38017,5,Cass County,ND,92.6,124970,68.7,124939,73.8,119126,77.7,111226,78.9,22703,95,107889,59.3,107883,63.7,103368,67.5,96385,68.4,19512,86.1,43768,40.6,43766,42.3,43120,44.7,24455,59.3,13434,68.8,A,4,4,4,4,4,Metro,4,4,4,4,4,181923,169324,153251,140954,22672
02/01/2022,54091,5,Taylor County,WV,97.2,8399,50.3,8398,52.8,8245,56.6,7774,58,2497,71.2,7779,46.6,7777,48.9,7665,52.6,7229,54,2385,68,3547,45.6,3547,46.3,3488,48.3,2619,58.8,1595,66.9,B,7,7,8,8,7,Non-metro,7,7,8,8,7,16695,15915,14563,13397,3507
02/01/2022,UNK,5,Unknown County,NE,90.4,195254,0,195201,0,194898,0,192562,0,78497,0,114211,0,114194,0,114058,0,112759,0,34962,0,17097,15,17097,15,17047,15.1,14393,23.6,10548,30.2,,,,,,,,,,,,,,,,,
02/01/2022,72039,5,Ciales Municipio,PR,95.9,14785,93.5,14781,95,13902,95,12680,95,3177,94.5,12866,81.4,12865,84.7,12266,87,11193,86.7,2838,84.4,5132,39.9,5131,41.8,4966,44.4,3102,52.9,1583,55.8,D,16,16,16,16,16,Metro,4,4,4,4,4,15808,15186,14098,12903,3361
02/01/2022,UNK,5,Unknown County,NV,94.9,137659,0,137654,0,135507,0,130034,0,22980,0,91568,0,91568,0,90362,0,87501,0,16172,0,25067,27.4,25067,27.7,24909,28.5,19544,47.3,13269,82,,,,,,,,,,,,,,,,,
