FIPS,Recip_County,Recip_State,Series_Complete_18PlusPop_Pct,Census2019_18PlusPop
26143,Roscommon County,MI,54.0,20473.0
20003,Anderson County,KS,42.4,5838.0
28117,Prentiss County,MS,39.3,19503.0
31141,Platte County,NE,45.2,24653.0
50001,Addison County,VT,66.5,30721.0
35047,San Miguel County,NM,43.5,22517.0
35003,Catron County,NM,30.5,3113.0
72054,Florida Municipio,PR,69.0,9288.0
25009,Essex County,MA,70.2,622395.0
19153,Polk County,IA,65.9,369162.0
08005,Arapahoe County,CO,12.5,503709.0
56039,Teton County,WY,84.8,19264.0
08047,Gilpin County,CO,38.9,5333.0
42063,Indiana County,PA,44.4,69004.0
42037,Columbia County,PA,58.7,53571.0
20105,Lincoln County,KS,44.3,2318.0
13137,Habersham County,GA,15.2,35229.0
38079,Rolette County,ND,63.5,9401.0
51019,Bedford County,VA,21.8,63465.0
47051,Franklin County,TN,36.3,33862.0
21135,Lewis County,KY,30.8,10366.0
31143,Polk County,NE,40.0,4042.0
12055,Highlands County,FL,45.0,88350.0
19017,Bremer County,IA,60.9,19439.0
51051,Dickenson County,VA,33.0,11517.0
01017,Chambers County,AL,25.1,26341.0
29175,Randolph County,MO,32.6,19403.0
29035,Carter County,MO,28.6,4603.0
13009,Baldwin County,GA,8.5,36602.0
48035,Bosque County,TX,0.0,14755.0
13271,Telfair County,GA,15.0,13318.0
35028,Los Alamos County,NM,73.5,15103.0
50021,Rutland County,VT,66.7,47973.0
05043,Drew County,AR,40.1,14284.0
01079,Lawrence County,AL,39.4,25831.0
42021,Cambria County,PA,54.0,105298.0
47087,Jackson County,TN,29.3,9689.0
54071,Pendleton County,WV,39.5,5702.0
55071,Manitowoc County,WI,58.3,62835.0
40011,Blaine County,OK,43.0,7019.0
53059,Skamania County,WA,38.6,9867.0
53005,Benton County,WA,55.6,150118.0
51081,Greensville County,VA,5.0,9475.0
31007,Banner County,NE,25.8,563.0
17041,Douglas County,IL,44.0,14660.0
01039,Covington County,AL,28.1,28887.0
37145,Person County,NC,50.7,31361.0
31093,Howard County,NE,43.6,4890.0
21155,Marion County,KY,49.9,14636.0
37055,Dare County,NC,70.3,30088.0
13141,Hancock County,GA,7.7,7175.0
51049,Cumberland County,VA,6.8,8051.0
13241,Rabun County,GA,24.7,14298.0
40133,Seminole County,OK,47.4,18311.0
48219,Hockley County,TX,0.0,17109.0
12113,Santa Rosa County,FL,42.9,144119.0
40059,Harper County,OK,44.8,2745.0
36009,Cattaraugus County,NY,53.7,59481.0
29215,Texas County,MO,28.1,19996.0
05131,Sebastian County,AR,36.6,97154.0
55007,Bayfield County,WI,81.8,12431.0
40149,Washita County,OK,36.9,8243.0
25011,Franklin County,MA,63.7,58196.0
04019,Pima County,AZ,63.0,831972.0
