FIPS,Recip_County,Recip_State,Series_Complete_18PlusPop_Pct,Census2019_18PlusPop,Deaths
1001,Autauga County,AL,45.3,42904.0,50
1003,Baldwin County,AL,55.9,175680.0,283
1005,Barbour County,AL,49.0,19604.0,24
1007,Bibb County,AL,38.2,17837.0,31
1009,Blount County,AL,35.8,44571.0,57
1011,Bullock County,AL,54.6,7995.0,4
1013,Butler County,AL,44.0,15174.0,31
1015,Calhoun County,AL,52.9,89132.0,206
1017,Chambers County,AL,35.0,26341.0,19
1019,Cherokee County,AL,35.4,21249.0,18
1021,Chilton County,AL,41.4,33837.0,59
1023,Choctaw County,AL,72.8,10109.0,4
1025,Clarke County,AL,57.2,18589.0,26
1027,Clay County,AL,47.9,10566.0,13
1029,Cleburne County,AL,36.5,11549.0,19
1031,Coffee County,AL,45.6,39948.0,77
1033,Colbert County,AL,53.7,43686.0,74
1035,Conecuh County,AL,47.1,9593.0,34
1037,Coosa County,AL,43.4,8916.0,19
1039,Covington County,AL,43.5,28887.0,78
1041,Crenshaw County,AL,39.3,10636.0,20
1043,Cullman County,AL,44.4,64956.0,110
1045,Dale County,AL,62.0,37984.0,81
1047,Dallas County,AL,50.4,28521.0,59
1049,DeKalb County,AL,38.9,54392.0,84
1051,Elmore County,AL,50.3,63080.0,89
1053,Escambia County,AL,41.5,28407.0,68
1055,Etowah County,AL,46.5,80492.0,166
1057,Fayette County,AL,39.1,12869.0,23
1059,Franklin County,AL,51.4,23590.0,26
1061,Geneva County,AL,44.3,20504.0,61
1063,Greene County,AL,56.0,6343.0,11
1065,Hale County,AL,68.8,11279.0,13
1067,Henry County,AL,50.6,13697.0,22
1069,Houston County,AL,49.2,81594.0,145
1071,Jackson County,AL,54.7,40943.0,84
1073,Jefferson County,AL,64.0,508723.0,488
1075,Lamar County,AL,49.8,10853.0,19
1077,Lauderdale County,AL,51.2,74683.0,68
1079,Lawrence County,AL,53.9,25831.0,31
1081,Lee County,AL,42.8,129821.0,95
1083,Limestone County,AL,41.8,76842.0,69
1085,Lowndes County,AL,53.7,7587.0,15
1087,Macon County,AL,49.6,14972.0,15
1089,Madison County,AL,66.3,292195.0,231
1091,Marengo County,AL,61.7,14616.0,29
1093,Marion County,AL,41.4,23539.0,30
1095,Marshall County,AL,53.1,72438.0,94
1097,Mobile County,AL,55.7,316868.0,577
1099,Monroe County,AL,48.6,16360.0,26
1101,Montgomery County,AL,59.1,173598.0,196
1103,Morgan County,AL,49.8,92334.0,127
1105,Perry County,AL,53.0,7056.0,14
1107,Pickens County,AL,53.6,16066.0,29
1109,Pike County,AL,44.9,26819.0,32
1111,Randolph County,AL,38.7,17925.0,26
1113,Russell County,AL,45.0,43974.0,27
1115,St. Clair County,AL,44.6,69336.0,121
1117,Shelby County,AL,40.0,167202.0,123
1119,Sumter County,AL,53.6,10067.0,9
1121,Talladega County,AL,41.1,63273.0,124
1123,Tallapoosa County,AL,43.8,32134.0,51
1125,Tuscaloosa County,AL,48.0,165385.0,190
1127,Walker County,AL,54.3,49388.0,101
1129,Washington County,AL,53.0,12722.0,13
1131,Wilcox County,AL,59.5,7954.0,10
1133,Winston County,AL,24.9,18864.0,38
2013,Aleutians East Borough,AK,72.2,3084.0,0
2016,Aleutians West Census Area,AK,61.2,4993.0,1
2020,Anchorage Municipality,AK,70.7,218802.0,224
2050,Bethel Census Area,AK,79.8,11848.0,6
2060,Bristol Bay Borough,AK,99.9,687.0,0
2068,Denali Borough,AK,55.4,1698.0,1
2070,Dillingham Census Area,AK,58.1,3371.0,6
2090,Fairbanks North Star Borough,AK,62.0,73845.0,70
2100,Haines Borough,AK,75.6,2074.0,1
2110,Juneau City and Borough,AK,78.8,25225.0,9
2122,Kenai Peninsula Borough,AK,52.7,45527.0,46
2130,Ketchikan Gateway Borough,AK,70.3,10884.0,11
2150,Kodiak Island Borough,AK,72.1,9757.0,4
2158,Kusilvak Census Area,AK,84.2,4874.0,5
2164,Lake and Peninsula Borough,AK,66.5,1136.0,1
2170,Matanuska-Susitna Borough,AK,44.0,79732.0,101
2180,Nome Census Area,AK,82.4,6544.0,2
2185,North Slope Borough,AK,42.4,7201.0,4
2188,Northwest Arctic Borough,AK,71.7,4862.0,8
2195,Petersburg Census Area,AK,80.2,2605.0,2
2198,Prince of Wales-Hyder Census Area,AK,59.1,4821.0,5
2220,Sitka City and Borough,AK,81.9,6740.0,4
2230,Skagway Municipality,AK,75.2,1001.0,0
2240,Southeast Fairbanks Census Area,AK,39.2,5175.0,8
2261,Valdez-Cordova Census Area,AK,66.7,7054.0,0
2275,Wrangell City and Borough,AK,64.9,2009.0,1
2282,Yakutat City and Borough,AK,81.6,477.0,1
2290,Yukon-Koyukuk Census Area,AK,78.7,3771.0,4
4001,Apache County,AZ,87.5,52462.0,83
4003,Cochise County,AZ,67.5,98949.0,105
4005,Coconino County,AZ,80.4,114726.0,55
4007,Gila County,AZ,63.7,43364.0,51
4009,Graham County,AZ,71.9,28485.0,54
4011,Greenlee County,AZ,51.0,6929.0,12
4012,La Paz County,AZ,49.8,17602.0,22
4013,Maricopa County,AZ,62.6,3432976.0,2906
4015,Mohave County,AZ,44.4,176822.0,331
4017,Navajo County,AZ,76.1,81804.0,145
4019,Pima County,AZ,72.2,831972.0,504
4021,Pinal County,AZ,58.0,360425.0,299
4023,Santa Cruz County,AZ,99.9,34123.0,20
4025,Yavapai County,AZ,49.2,197624.0,288
4027,Yuma County,AZ,73.5,160218.0,94
5001,Arkansas County,AR,63.0,13479.0,24
5003,Ashley County,AR,56.2,15259.0,15
5005,Baxter County,AR,51.7,34462.0,85
5007,Benton County,AR,58.5,206487.0,216
5009,Boone County,AR,42.2,28890.0,51
5011,Bradley County,AR,64.2,8180.0,9
5013,Calhoun County,AR,40.4,4208.0,5
5015,Carroll County,AR,52.2,22300.0,30
5017,Chicot County,AR,61.8,7901.0,6
5019,Clark County,AR,52.3,18082.0,20
5021,Clay County,AR,51.2,11465.0,24
5023,Cleburne County,AR,48.3,20222.0,21
5025,Cleveland County,AR,58.4,6240.0,8
5027,Columbia County,AR,52.6,18617.0,19
5029,Conway County,AR,59.6,16141.0,14
