FIPS,Recip_County,Recip_State,Series_Complete_5Plus
29075,Gentry County,MO,2807
20037,Crawford County,KS,17863
17031,Cook County,IL,3585484
29175,Randolph County,MO,9156
30047,Lake County,MT,16803
33015,Rockingham County,NH,204602
31021,Burt County,NE,3718
21005,Anderson County,KY,12271
06097,Sonoma County,CA,375461
53041,Lewis County,WA,40215
13137,Habersham County,GA,17785
48177,Gonzales County,TX,10029
21191,Pendleton County,KY,6264
45063,Lexington County,SC,160415
15003,Honolulu County,HI,0
48141,El Paso County,TX,644621
08033,Dolores County,CO,832
45059,Laurens County,SC,25379
54095,Tyler County,WV,3569
30101,Toole County,MT,2125
48007,Aransas County,TX,13173
18001,Adams County,IN,11557
33009,Grafton County,NH,66452
51083,Halifax County,VA,14405
53071,Walla Walla County,WA,37724
41071,Yamhill County,OR,66032
55061,Kewaunee County,WI,10407
55055,Jefferson County,WI,47588
05147,Woodruff County,AR,3486
39001,Adams County,OH,9449
01073,Jefferson County,AL,370301
12035,Flagler County,FL,71467
38087,Slope County,ND,81
55035,Eau Claire County,WI,63335
20049,Elk County,KS,831
19177,Van Buren County,IA,2906
17149,Pike County,IL,6230
28013,Calhoun County,MS,6148
30071,Phillips County,MT,1703
32013,Humboldt County,NV,6779
51520,Bristol city,VA,11186
05023,Cleburne County,AR,10816
01033,Colbert County,AL,25905
17059,Gallatin County,IL,2609
01103,Morgan County,AL,50969
20201,Washington County,KS,2849
51179,Stafford County,VA,86497
38099,Walsh County,ND,6074
21185,Oldham County,KY,37603
54031,Hardy County,WV,7442
05047,Franklin County,AR,8420
41069,Wheeler County,OR,720
19095,Iowa County,IA,9987
13219,Oconee County,GA,22608
19153,Polk County,IA,323126
05069,Jefferson County,AR,28767
05109,Pike County,AR,4398
37035,Catawba County,NC,85440
29041,Chariton County,MO,2739
13023,Bleckley County,GA,4588
27077,Lake of the Woods County,MN,2029
27061,Itasca County,MN,24958
72137,Toa Baja Municipio,PR,55055
37189,Watauga County,NC,30418
51810,Virginia Beach city,VA,274110
46125,Turner County,SD,4355
42053,Forest County,PA,5124
31143,Polk County,NE,2121
21227,Warren County,KY,49735
05119,Pulaski County,AR,220897
13083,Dade County,GA,7086
20051,Ellis County,KS,13875
22037,East Feliciana Parish,LA,7479
21231,Wayne County,KY,8275
20179,Sheridan County,KS,871
22105,Tangipahoa Parish,LA,60640
35001,Bernalillo County,NM,461007
48021,Bastrop County,TX,49592
50019,Orleans County,VT,15511
38053,McKenzie County,ND,3224
54037,Jefferson County,WV,35093
35006,Cibola County,NM,18134
22085,Sabine Parish,LA,8851
41051,Multnomah County,OR,628801
31029,Chase County,NE,1286
20135,Ness County,KS,1405
